"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","test_set_user","tests.api","Sun Apr 20 03:04:17 UTC 2025","passed","Sun Apr 20 03:04:17 UTC 2025","","test_users","",""
"","1251","test_end_to_end_flow[Jane-Smith--Postal Code]","tests.ui","Sun Apr 20 03:04:24 UTC 2025","passed","Sun Apr 20 03:04:25 UTC 2025","","test_checkout_page","",""
"","1184","test_end_to_end_flow[Yaron-Mordechai-1234]","tests.ui","Sun Apr 20 03:04:26 UTC 2025","passed","Sun Apr 20 03:04:27 UTC 2025","","test_e2e","",""
"","1328","test_end_to_end_flow[John--5678-Last Name]","tests.ui","Sun Apr 20 03:04:21 UTC 2025","passed","Sun Apr 20 03:04:23 UTC 2025","","test_checkout_page","",""
"","117","test_get_users","tests.api","Sun Apr 20 03:04:17 UTC 2025","passed","Sun Apr 20 03:04:17 UTC 2025","","test_users","",""
"","55","test_get_user_by_id","tests.api","Sun Apr 20 03:04:17 UTC 2025","passed","Sun Apr 20 03:04:17 UTC 2025","","test_users","",""
"","1473","test_end_to_end_flow[-Mordechai-1234-First Name]","tests.ui","Sun Apr 20 03:04:19 UTC 2025","passed","Sun Apr 20 03:04:20 UTC 2025","","test_checkout_page","",""
"","1182","test_end_to_end_flow[Jane-Smith-9999]","tests.ui","Sun Apr 20 03:04:30 UTC 2025","passed","Sun Apr 20 03:04:32 UTC 2025","","test_e2e","",""
"","497","test_validate_len_of_cards[6]","tests.ui","Sun Apr 20 03:04:33 UTC 2025","passed","Sun Apr 20 03:04:33 UTC 2025","","test_main_page","",""
"","50","test_delete_user","tests.api","Sun Apr 20 03:04:17 UTC 2025","passed","Sun Apr 20 03:04:17 UTC 2025","","test_users","",""
"","1168","test_end_to_end_flow[John-Doe-5678]","tests.ui","Sun Apr 20 03:04:28 UTC 2025","passed","Sun Apr 20 03:04:29 UTC 2025","","test_e2e","",""
